"Value", "Tolerance", "Tempco", "Manufacturer", "Manufacturer P/N", "Supplier1", "Supplier Part Number 1", "ComponentLink1Description", "ComponentLink1URL", "Library Ref", "Library Path", "Footprint Ref", "Footprint Path", "Description"
"1.00", "1%", "100ppm/C", "Vishay", "CRCW04021R00FKED", "Digi-Key", "541-1.00LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.00 ohm" 
"1.02", "1%", "100ppm/C", "Vishay", "CRCW04021R02FKED", "Digi-Key", "541-1.02LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.02 ohm" 
"1.05", "1%", "100ppm/C", "Vishay", "CRCW04021R05FKED", "Digi-Key", "541-1.05LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.05 ohm" 
"1.07", "1%", "100ppm/C", "Vishay", "CRCW04021R07FKED", "Digi-Key", "541-1.07LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.07 ohm" 
"1.10", "1%", "100ppm/C", "Vishay", "CRCW04021R10FKED", "Digi-Key", "541-1.10LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.10 ohm" 
"1.13", "1%", "100ppm/C", "Vishay", "CRCW04021R13FKED", "Digi-Key", "541-1.13LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.13 ohm" 
"1.15", "1%", "100ppm/C", "Vishay", "CRCW04021R15FKED", "Digi-Key", "541-1.15LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.15 ohm" 
"1.18", "1%", "100ppm/C", "Vishay", "CRCW04021R18FKED", "Digi-Key", "541-1.18LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.18 ohm" 
"1.21", "1%", "100ppm/C", "Vishay", "CRCW04021R21FKED", "Digi-Key", "541-1.21LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.21 ohm" 
"1.24", "1%", "100ppm/C", "Vishay", "CRCW04021R24FKED", "Digi-Key", "541-1.24LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.24 ohm" 
"1.27", "1%", "100ppm/C", "Vishay", "CRCW04021R27FKED", "Digi-Key", "541-1.27LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.27 ohm" 
"1.30", "1%", "100ppm/C", "Vishay", "CRCW04021R30FKED", "Digi-Key", "541-1.30LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.30 ohm" 
"1.33", "1%", "100ppm/C", "Vishay", "CRCW04021R33FKED", "Digi-Key", "541-1.33LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.33 ohm" 
"1.37", "1%", "100ppm/C", "Vishay", "CRCW04021R37FKED", "Digi-Key", "541-1.37LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.37 ohm" 
"1.40", "1%", "100ppm/C", "Vishay", "CRCW04021R40FKED", "Digi-Key", "541-1.40LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.40 ohm" 
"1.43", "1%", "100ppm/C", "Vishay", "CRCW04021R43FKED", "Digi-Key", "541-1.43LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.43 ohm" 
"1.47", "1%", "100ppm/C", "Vishay", "CRCW04021R47FKED", "Digi-Key", "541-1.47LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.47 ohm" 
"1.50", "1%", "100ppm/C", "Vishay", "CRCW04021R50FKED", "Digi-Key", "541-1.50LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.50 ohm" 
"1.54", "1%", "100ppm/C", "Vishay", "CRCW04021R54FKED", "Digi-Key", "541-1.54LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.54 ohm" 
"1.58", "1%", "100ppm/C", "Vishay", "CRCW04021R58FKED", "Digi-Key", "541-1.58LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.58 ohm" 
"1.62", "1%", "100ppm/C", "Vishay", "CRCW04021R62FKED", "Digi-Key", "541-1.62LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.62 ohm" 
"1.65", "1%", "100ppm/C", "Vishay", "CRCW04021R65FKED", "Digi-Key", "541-1.65LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.65 ohm" 
"1.69", "1%", "100ppm/C", "Vishay", "CRCW04021R69FKED", "Digi-Key", "541-1.69LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.69 ohm" 
"1.74", "1%", "100ppm/C", "Vishay", "CRCW04021R74FKED", "Digi-Key", "541-1.74LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.74 ohm" 
"1.78", "1%", "100ppm/C", "Vishay", "CRCW04021R78FKED", "Digi-Key", "541-1.78LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.78 ohm" 
"1.82", "1%", "100ppm/C", "Vishay", "CRCW04021R82FKED", "Digi-Key", "541-1.82LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.82 ohm" 
